entity,gameid,market,date,line,modelp,version,domain,actual
ETH,eth-updown-5m-1784554800,updown_5m,2026-07-20,0.5,0.278,diffusion_v1,crypto,0
SOL,sol-updown-5m-1784554800,updown_5m,2026-07-20,0.5,0.242,diffusion_v1,crypto,0
BTC,btc-updown-5m-1784554800,updown_5m,2026-07-20,0.5,0.388,diffusion_v1,crypto,0
XRP,xrp-updown-5m-1784554800,updown_5m,2026-07-20,0.5,0.378,diffusion_v1,crypto,0
BTC,btc-updown-15m-1784554200,updown_15m,2026-07-20,0.5,0.937,diffusion_v1,crypto,1
SOL,sol-updown-15m-1784554200,updown_15m,2026-07-20,0.5,0.96,diffusion_v1,crypto,1
BTC,btc-updown-5m-1784555100,updown_5m,2026-07-20,0.5,0.003,diffusion_v1,crypto,1
SOL,sol-updown-5m-1784555100,updown_5m,2026-07-20,0.5,0.0,diffusion_v1,crypto,0
ETH,eth-updown-5m-1784555100,updown_5m,2026-07-20,0.5,0.004,diffusion_v1,crypto,0
ETH,eth-updown-5m-1784559900,updown_5m,2026-07-20,0.5,0.841,diffusion_v1,crypto,1
BTC,btc-updown-5m-1784559900,updown_5m,2026-07-20,0.5,0.832,diffusion_v1,crypto,1
XRP,xrp-updown-5m-1784559900,updown_5m,2026-07-20,0.5,0.966,diffusion_v1,crypto,1
SOL,sol-updown-5m-1784559900,updown_5m,2026-07-20,0.5,0.727,diffusion_v1,crypto,1
SOL,sol-updown-5m-1784560200,updown_5m,2026-07-20,0.5,0.655,diffusion_v1,crypto,1
ETH,eth-updown-5m-1784560200,updown_5m,2026-07-20,0.5,0.648,diffusion_v1,crypto,1
XRP,xrp-updown-5m-1784560200,updown_5m,2026-07-20,0.5,0.68,diffusion_v1,crypto,1
BTC,btc-updown-5m-1784560200,updown_5m,2026-07-20,0.5,0.791,diffusion_v1,crypto,1
BTC,btc-updown-5m-1784560500,updown_5m,2026-07-20,0.5,0.502,diffusion_v1,crypto,1
SOL,sol-updown-5m-1784560500,updown_5m,2026-07-20,0.5,0.271,diffusion_v1,crypto,0
XRP,xrp-updown-5m-1784560500,updown_5m,2026-07-20,0.5,0.295,diffusion_v1,crypto,0
ETH,eth-updown-5m-1784560500,updown_5m,2026-07-20,0.5,0.313,diffusion_v1,crypto,0
SOL,sol-updown-5m-1784561100,updown_5m,2026-07-20,0.5,0.464,diffusion_v1,crypto,1
SOL,sol-updown-15m-1784560500,updown_15m,2026-07-20,0.5,0.207,diffusion_v1,crypto,0
BTC,btc-updown-5m-1784561100,updown_5m,2026-07-20,0.5,0.32,diffusion_v1,crypto,1
ETH,eth-updown-15m-1784560500,updown_15m,2026-07-20,0.5,0.335,diffusion_v1,crypto,0
BTC,btc-updown-15m-1784560500,updown_15m,2026-07-20,0.5,0.222,diffusion_v1,crypto,0
ETH,eth-updown-5m-1784561100,updown_5m,2026-07-20,0.5,0.462,diffusion_v1,crypto,1
XRP,xrp-updown-5m-1784561100,updown_5m,2026-07-20,0.5,0.531,diffusion_v1,crypto,1
XRP,xrp-updown-15m-1784560500,updown_15m,2026-07-20,0.5,0.108,diffusion_v1,crypto,0
SOL,sol-updown-5m-1784561400,updown_5m,2026-07-20,0.5,0.351,diffusion_v1,crypto,0
ETH,eth-updown-5m-1784561400,updown_5m,2026-07-20,0.5,0.598,diffusion_v1,crypto,0
BTC,btc-updown-5m-1784561400,updown_5m,2026-07-20,0.5,0.284,diffusion_v1,crypto,0
XRP,xrp-updown-5m-1784561400,updown_5m,2026-07-20,0.5,0.534,diffusion_v1,crypto,0
ETH,eth-updown-5m-1784561700,updown_5m,2026-07-20,0.5,0.49,diffusion_v1,crypto,1
BTC,btc-updown-5m-1784561700,updown_5m,2026-07-20,0.5,0.369,diffusion_v1,crypto,1
SOL,sol-updown-5m-1784561700,updown_5m,2026-07-20,0.5,0.5,diffusion_v1,crypto,0
XRP,xrp-updown-5m-1784561700,updown_5m,2026-07-20,0.5,0.439,diffusion_v1,crypto,0
BTC,btc-updown-5m-1784562000,updown_5m,2026-07-20,0.5,0.985,diffusion_v1,crypto,1
BTC,btc-updown-15m-1784561400,updown_15m,2026-07-20,0.5,0.819,diffusion_v1,crypto,1
SOL,sol-updown-15m-1784561400,updown_15m,2026-07-20,0.5,0.687,diffusion_v1,crypto,1
ETH,eth-updown-15m-1784561400,updown_15m,2026-07-20,0.5,0.78,diffusion_v1,crypto,1
XRP,xrp-updown-15m-1784561400,updown_15m,2026-07-20,0.5,0.825,diffusion_v1,crypto,1
XRP,xrp-updown-5m-1784562000,updown_5m,2026-07-20,0.5,0.969,diffusion_v1,crypto,1
SOL,sol-updown-5m-1784562000,updown_5m,2026-07-20,0.5,0.94,diffusion_v1,crypto,1
ETH,eth-updown-5m-1784562000,updown_5m,2026-07-20,0.5,0.917,diffusion_v1,crypto,1
