entity,gameid,market,date,line,modelp,version,domain,actual
Cleveland Guardians,mlb_824410,home_moneyline,2026-07-20,0.5,0.5881,elo_mlb_v1.0,mlb,
New York Yankees,mlb_823522,home_moneyline,2026-07-20,0.5,0.5866,elo_mlb_v1.0,mlb,
Toronto Blue Jays,mlb_822788,home_moneyline,2026-07-20,0.5,0.5262,elo_mlb_v1.0,mlb,
Boston Red Sox,mlb_824736,home_moneyline,2026-07-20,0.5,0.5772,elo_mlb_v1.0,mlb,
Philadelphia Phillies,mlb_823436,home_moneyline,2026-07-20,0.5,0.5188,elo_mlb_v1.0,mlb,
Atlanta Braves,mlb_824898,home_moneyline,2026-07-20,0.5,0.5557,elo_mlb_v1.0,mlb,
Kansas City Royals,mlb_824087,home_moneyline,2026-07-20,0.5,0.5317,elo_mlb_v1.0,mlb,
Milwaukee Brewers,mlb_823762,home_moneyline,2026-07-20,0.5,0.6549,elo_mlb_v1.0,mlb,
Chicago Cubs,mlb_824654,home_moneyline,2026-07-21,0.5,0.5929,elo_mlb_v1.0,mlb,
Texas Rangers,mlb_822874,home_moneyline,2026-07-21,0.5,0.5714,elo_mlb_v1.0,mlb,
Houston Astros,mlb_824167,home_moneyline,2026-07-21,0.5,0.5302,elo_mlb_v1.0,mlb,
Colorado Rockies,mlb_824328,home_moneyline,2026-07-21,0.5,0.4677,elo_mlb_v1.0,mlb,
Arizona Diamondbacks,mlb_825058,home_moneyline,2026-07-21,0.5,0.6012,elo_mlb_v1.0,mlb,
Seattle Mariners,mlb_823112,home_moneyline,2026-07-21,0.5,0.5746,elo_mlb_v1.0,mlb,
Los Angeles Angels,mlb_824006,home_moneyline,2026-07-21,0.5,0.4661,elo_mlb_v1.0,mlb,
Cleveland Guardians,mlb_824409,home_moneyline,2026-07-21,0.5,0.5881,elo_mlb_v1.0,mlb,
Philadelphia Phillies,mlb_823437,home_moneyline,2026-07-21,0.5,0.5188,elo_mlb_v1.0,mlb,
New York Yankees,mlb_823519,home_moneyline,2026-07-21,0.5,0.5866,elo_mlb_v1.0,mlb,
Toronto Blue Jays,mlb_822787,home_moneyline,2026-07-21,0.5,0.5262,elo_mlb_v1.0,mlb,
Boston Red Sox,mlb_824735,home_moneyline,2026-07-21,0.5,0.5772,elo_mlb_v1.0,mlb,
Atlanta Braves,mlb_824895,home_moneyline,2026-07-21,0.5,0.5557,elo_mlb_v1.0,mlb,
Kansas City Royals,mlb_824085,home_moneyline,2026-07-21,0.5,0.5317,elo_mlb_v1.0,mlb,
Milwaukee Brewers,mlb_823760,home_moneyline,2026-07-21,0.5,0.6549,elo_mlb_v1.0,mlb,
Chicago Cubs,mlb_824652,home_moneyline,2026-07-22,0.5,0.5929,elo_mlb_v1.0,mlb,
Texas Rangers,mlb_822871,home_moneyline,2026-07-22,0.5,0.5714,elo_mlb_v1.0,mlb,
Houston Astros,mlb_824165,home_moneyline,2026-07-22,0.5,0.5302,elo_mlb_v1.0,mlb,
Colorado Rockies,mlb_824329,home_moneyline,2026-07-22,0.5,0.4677,elo_mlb_v1.0,mlb,
Los Angeles Angels,mlb_824005,home_moneyline,2026-07-22,0.5,0.4661,elo_mlb_v1.0,mlb,
Arizona Diamondbacks,mlb_825056,home_moneyline,2026-07-22,0.5,0.6012,elo_mlb_v1.0,mlb,
Seattle Mariners,mlb_823114,home_moneyline,2026-07-22,0.5,0.5746,elo_mlb_v1.0,mlb,
ETH,eth-updown-5m-1784564400,updown_5m,2026-07-20,0.5,0.496,diffusion_v1,crypto,
BTC,btc-updown-5m-1784564700,updown_5m,2026-07-20,0.5,0.156,diffusion_v1,crypto,
XRP,xrp-updown-5m-1784564700,updown_5m,2026-07-20,0.5,0.178,diffusion_v1,crypto,
ETH,eth-updown-5m-1784564700,updown_5m,2026-07-20,0.5,0.179,diffusion_v1,crypto,
SOL,sol-updown-5m-1784564700,updown_5m,2026-07-20,0.5,0.09,diffusion_v1,crypto,
XRP,xrp-updown-15m-1784564100,updown_15m,2026-07-20,0.5,0.054,diffusion_v1,crypto,
